Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Term,Credit_History,Area,Status
Male,No,0,Graduate,No,584900,0,15000000,360,1,Urban,Y
Male,Yes,1,Graduate,No,458300,150800,12800000,360,1,Rural,N
Male,Yes,0,Graduate,Yes,300000,0,6600000,360,1,Urban,Y
Male,Yes,0,Not Graduate,No,258300,235800,12000000,360,1,Urban,Y
Male,No,0,Graduate,No,600000,0,14100000,360,1,Urban,Y
Male,Yes,2,Graduate,Yes,541700,419600,26700000,360,1,Urban,Y
Male,Yes,0,Not Graduate,No,233300,151600,9500000,360,1,Urban,Y
Male,Yes,3+,Graduate,No,303600,250400,15800000,360,0,Semiurban,N
Male,Yes,2,Graduate,No,400600,152600,16800000,360,1,Urban,Y
Male,Yes,1,Graduate,No,1284100,1096800,34900000,360,1,Semiurban,N
Male,Yes,2,Graduate,No,320000,70000,7000000,360,1,Urban,Y
Male,Yes,2,Graduate,,250000,184000,10900000,360,1,Urban,Y
Male,Yes,2,Graduate,No,307300,810600,20000000,360,1,Urban,Y
Male,No,0,Graduate,No,185300,284000,11400000,360,1,Rural,N
Male,Yes,2,Graduate,No,129900,108600,1700000,120,1,Urban,Y
Male,No,0,Graduate,No,495000,0,12500000,360,1,Urban,Y
Male,No,1,Not Graduate,No,359600,0,10000000,240,,Urban,Y
Female,No,0,Graduate,No,351000,0,7600000,360,0,Urban,N
Male,Yes,0,Not Graduate,No,488700,0,13300000,360,1,Rural,N
Male,Yes,0,Graduate,,260000,350000,11500000,,1,Urban,Y
Male,Yes,0,Not Graduate,No,766000,0,10400000,360,0,Urban,N
Male,Yes,1,Graduate,No,595500,562500,31500000,360,1,Urban,Y
Male,Yes,0,Not Graduate,No,260000,191100,11600000,360,0,Semiurban,N
,Yes,2,Not Graduate,No,336500,191700,11200000,360,0,Rural,N
Male,Yes,1,Graduate,,371700,292500,15100000,360,,Semiurban,N
Male,Yes,0,Graduate,Yes,956000,0,19100000,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,279900,225300,12200000,360,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,422600,104000,11000000,360,1,Urban,Y
Male,No,0,Not Graduate,No,144200,0,3500000,360,1,Urban,N
Female,No,2,Graduate,,375000,208300,12000000,360,1,Semiurban,Y
Male,Yes,1,Graduate,,416600,336900,20100000,360,,Urban,N
Male,No,0,Graduate,No,316700,0,7400000,360,1,Urban,N
Male,No,1,Graduate,Yes,469200,0,10600000,360,1,Rural,N
Male,Yes,0,Graduate,No,350000,166700,11400000,360,1,Semiurban,Y
Male,No,3+,Graduate,No,1250000,300000,32000000,360,1,Rural,N
Male,Yes,0,Graduate,No,227500,206700,0,360,1,Urban,Y
Male,Yes,0,Graduate,No,182800,133000,10000000,,0,Urban,N
Female,Yes,0,Graduate,No,366700,145900,14400000,360,1,Semiurban,Y
Male,No,0,Graduate,No,416600,721000,18400000,360,1,Urban,Y
Male,No,0,Not Graduate,No,374800,166800,11000000,360,1,Semiurban,Y
Male,No,0,Graduate,No,360000,0,8000000,360,1,Urban,N
Male,No,0,Graduate,No,180000,121300,4700000,360,1,Urban,Y
Male,Yes,0,Graduate,No,240000,0,7500000,360,,Urban,Y
Male,Yes,0,Graduate,No,394100,233600,13400000,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,469500,0,9600000,,1,Urban,Y
Female,No,0,Graduate,No,341000,0,8800000,,1,Urban,Y
Male,Yes,1,Graduate,No,564900,0,4400000,360,1,Urban,Y
Male,Yes,0,Graduate,No,582100,0,14400000,360,1,Urban,Y
Female,Yes,0,Graduate,No,264500,344000,12000000,360,0,Urban,N
Female,No,0,Graduate,No,400000,227500,14400000,360,1,Semiurban,Y
Female,Yes,0,Not Graduate,No,192800,164400,10000000,360,1,Semiurban,Y
